"0","2071","NULL"
"1","3680","NULL"
"2","3977","NULL"
"3","4027","NULL"
"4","4993","NULL"
"5","6352","NULL"
"6","6413","NULL"
"7","6590","NULL"
"8","7813","NULL"
"9","NULL","0"
"10","NULL","1"
"11","NULL","2"
"12","NULL","3"
"13","NULL","4"
"14","NULL","5"
"15","NULL","6"
"16","NULL","7"
"17","NULL","8"
"18","NULL","9"
"19","NULL","10"
"20","NULL","11"
"21","NULL","12"
"22","NULL","13"
"23","NULL","14"
"24","NULL","15"
"25","NULL","16"
"26","NULL","17"
"27","NULL","18"
"28","NULL","19"
"29","NULL","20"
"30","NULL","21"
"31","NULL","22"
"32","NULL","23"
"33","NULL","24"
"34","NULL","25"
"35","NULL","26"
"36","NULL","27"
"37","NULL","28"
"38","NULL","29"
"39","NULL","30"
"40","NULL","31"
"41","NULL","32"
"42","NULL","33"
"43","NULL","34"
"44","NULL","35"
"45","NULL","36"
"46","NULL","37"
"47","NULL","38"
"48","NULL","39"
"49","NULL","40"
"50","NULL","41"
"51","NULL","42"
"52","NULL","43"
"53","NULL","44"
"54","NULL","45"
"55","NULL","46"
"56","NULL","47"
"57","NULL","48"
"58","NULL","49"
"59","NULL","50"
"60","NULL","51"
"61","NULL","52"
"62","NULL","53"
"63","NULL","54"
"64","NULL","55"
"65","NULL","56"
"66","NULL","57"
"67","NULL","58"
"68","NULL","59"
"69","NULL","60"
"70","NULL","61"
"71","NULL","62"
"72","NULL","63"
"73","NULL","64"
"74","NULL","65"
"75","NULL","66"
"76","NULL","67"
"77","NULL","68"
"78","NULL","69"
"79","NULL","70"
"80","NULL","71"
"81","NULL","72"
"82","NULL","73"
"83","NULL","74"
"84","NULL","75"
"85","NULL","76"
"86","NULL","77"
"87","NULL","78"
"88","NULL","79"
"89","NULL","80"
"90","NULL","81"
"91","NULL","82"
"92","NULL","83"
"93","NULL","84"
"94","NULL","85"
"95","NULL","86"
"96","NULL","87"
"97","NULL","88"
"98","NULL","89"
"99","NULL","90"
"100","NULL","91"
"101","NULL","92"
"102","NULL","93"
"103","NULL","94"
"104","NULL","95"
"105","NULL","96"
"106","NULL","97"
"107","NULL","98"
"108","NULL","99"
