"0","0","0","2657","3","2016-03-03 15:41:37.384","29.0","29.0"
"1","1","0","2093","3","2016-03-09 21:45:33.561","29.0","29.0"
"2","2","0","608","3","2016-02-29 12:47:02.017","29.0","29.0"
"3","3","0","1225","3","2016-03-09 19:13:15.525","29.0","29.0"
"4","4","0","3794","3","2016-02-21 00:08:37.115","29.0","29.0"
"5","5","0","51","3","2016-02-28 02:51:16.963","29.0","29.0"
"6","6","0","2861","3","2016-02-29 21:11:46.712","29.0","29.0"
"7","7","0","4493","3","2016-03-02 23:41:55.501","29.0","29.0"
"8","8","0","3114","3","2016-03-03 08:27:51.482","29.0","29.0"
"9","9","0","9141","3","2016-02-22 06:05:30.420","29.0","29.0"
"10","10","0","3900","3","2016-02-28 13:23:41.377","29.0","29.0"
"11","11","0","8194","3","2016-03-08 21:08:13.472","29.0","29.0"
"12","12","1","8597","0","2016-02-23 23:27:41.022","26.0","26.0"
"13","13","1","884","0","2016-02-22 21:21:51.211","26.0","26.0"
"14","14","1","7529","0","2016-02-23 18:38:46.974","26.0","26.0"
"15","15","1","4058","0","2016-03-10 14:51:36.420","26.0","26.0"
"16","16","1","9277","0","2016-03-14 18:31:34.540","26.0","26.0"
"17","17","1","2598","0","2016-03-04 23:32:41.176","26.0","26.0"
"18","18","1","7776","0","2016-03-17 20:24:53.829","26.0","0.0"
"19","19","1","9021","0","2016-03-06 02:33:11.830","26.0","26.0"
"20","20","1","8020","0","2016-03-24 03:37:17.722","26.0","0.0"
"21","21","1","3263","0","2016-03-21 13:12:59.671","26.0","26.0"
"22","22","1","5120","0","2016-04-19 03:13:09.671","26.0","26.0"
"23","0","2","2657","1","2016-03-04 06:08:38.844","0.0","0.0"
"24","1","2","2093","1","2016-03-09 15:53:23.883","0.0","0.0"
"25","2","2","608","1","2016-02-29 20:41:59.660","0.0","0.0"
"26","3","2","1225","1","2016-03-10 02:00:43.232","0.0","0.0"
"27","4","2","3794","1","2016-02-20 20:47:40.587","0.0","0.0"
"28","5","2","51","1","2016-02-28 09:11:31.862","0.0","0.0"
"29","6","2","2861","1","2016-02-29 11:36:42.106","0.0","0.0"
"30","7","2","4493","1","2016-03-02 14:55:22.424","0.0","0.0"
"31","8","2","3114","1","2016-03-03 10:46:41.583","0.0","0.0"
"32","9","2","9141","1","2016-02-22 05:51:58.742","0.0","0.0"
"33","10","2","3900","1","2016-02-28 19:08:34.787","0.0","0.0"
"34","11","3","8194","0","2016-03-09 09:26:04.875","26.0","26.0"
"35","12","3","8597","0","2016-02-24 17:31:01.939","26.0","26.0"
"36","13","3","884","0","2016-02-22 14:20:07.594","26.0","26.0"
"37","14","3","7529","0","2016-02-23 07:40:34.348","26.0","26.0"
"38","15","3","4058","0","2016-03-10 16:20:22.146","26.0","26.0"
"39","16","3","9277","0","2016-03-14 03:04:48.257","26.0","0.0"
"40","17","3","2598","0","2016-03-04 18:39:20.558","26.0","26.0"
"41","18","3","7776","0","2016-03-17 13:18:40.472","26.0","26.0"
"42","19","3","9021","0","2016-03-06 07:00:16.084","26.0","26.0"
"43","20","3","8020","0","2016-03-24 20:52:50.960","26.0","26.0"
"44","21","3","3263","0","2016-03-20 14:10:48.587","26.0","26.0"
"45","22","3","5120","0","2016-04-19 19:17:40.247","26.0","26.0"
"46","0","4","2657","2","2016-03-03 08:35:12.621","28.0","28.0"
"47","1","4","2093","2","2016-03-10 04:23:54.052","28.0","0.0"
"48","2","4","608","2","2016-02-29 18:44:09.108","28.0","28.0"
"49","3","4","1225","2","2016-03-09 22:58:51.307","28.0","28.0"
"50","4","4","3794","2","2016-02-20 14:07:17.693","28.0","28.0"
"51","5","4","51","2","2016-02-28 11:54:48.100","28.0","28.0"
"52","6","4","2861","2","2016-02-29 06:11:37.079","28.0","28.0"
"53","7","4","4493","2","2016-03-02 12:14:03.763","28.0","28.0"
"54","8","4","3114","2","2016-03-03 10:36:59.321","28.0","28.0"
"55","9","4","9141","2","2016-02-22 05:29:22.098","28.0","28.0"
"56","10","5","3900","0","2016-02-28 02:09:16.010","26.0","26.0"
"57","11","5","8194","0","2016-03-09 03:40:21.813","26.0","26.0"
"58","12","5","8597","0","2016-02-24 17:31:42.049","26.0","26.0"
"59","13","5","884","0","2016-02-22 00:19:21.142","26.0","0.0"
"60","14","5","7529","0","2016-02-23 10:55:30.685","26.0","26.0"
"61","15","5","4058","0","2016-03-10 06:59:29.370","26.0","0.0"
"62","16","6","9277","0","2016-03-14 15:03:08.726","26.0","26.0"
"63","17","6","2598","0","2016-03-05 00:53:51.065","26.0","26.0"
"64","18","6","7776","0","2016-03-17 15:02:30.708","26.0","26.0"
"65","19","6","9021","0","2016-03-06 00:04:35.456","26.0","26.0"
"66","20","6","8020","0","2016-03-24 02:02:18.228","26.0","26.0"
"67","21","6","3263","0","2016-03-21 12:08:28.723","26.0","0.0"
"68","22","6","5120","0","2016-04-19 09:18:17.251","26.0","26.0"
"69","0","6","2657","0","2016-03-04 01:53:10.675","26.0","26.0"
"70","1","6","2093","0","2016-03-10 10:01:31.430","26.0","26.0"
"71","2","6","608","0","2016-02-29 07:43:33.411","26.0","26.0"
"72","3","6","1225","0","2016-03-10 02:29:31.539","26.0","26.0"
"73","4","7","3794","3","2016-02-20 16:17:57.778","29.0","29.0"
