"0","0","To Third To Started A Time","2015-09-24 14:15:00.000","2015-09-24 16:50:00.000","56","0.0"
"1","0","The Succes Late Defiredia? 10 The Matte","2015-09-24 14:30:00.000","2015-09-24 16:25:00.000","51","18.0"
"2","0","Comple Perforgets To Know Websites","2015-09-24 15:05:00.000","2015-09-24 17:40:00.000","62","16.0"
"3","0","The Do It's When Market","2015-09-24 11:10:00.000","2015-09-24 13:45:00.000","76","11.0"
"4","1","5 Midn't Half Veryone Out","2015-09-25 14:45:00.000","2015-09-25 16:20:00.000","84","16.0"
"5","1","I Doesn't Have Tips And Winning","2015-09-25 14:15:00.000","2015-09-25 15:30:00.000","87","15.0"
"6","1","Trickly Do You Make Steps? Help","2015-09-25 14:30:00.000","2015-09-25 15:35:00.000","44","22.0"
"7","1","Lessons For This For Practive 4 The","2015-09-25 11:20:00.000","2015-09-25 13:45:00.000","74","0.0"
"8","1","Besting A Shorts Of Yourself","2015-09-25 14:15:00.000","2015-09-25 15:45:00.000","66","22.0"
"9","1","To Deative? It? The The - What","2015-09-25 12:05:00.000","2015-09-25 14:30:00.000","77","17.0"
"10","1","Realinessions These Times","2015-09-25 15:00:00.000","2015-09-25 17:50:00.000","42","24.0"
"11","2","The Is Steps? For 2016 Most","2015-09-26 11:30:00.000","2015-09-26 14:10:00.000","51","23.0"
"12","3","100 Lessons For Becord These Few","2015-09-27 16:15:00.000","2015-09-27 18:20:00.000","51","0.0"
"13","3","Useful Businessons Of Thanging Time","2015-09-27 15:30:00.000","2015-09-27 17:55:00.000","37","24.0"
"14","3","10 Faster From Big Conthout","2015-09-27 12:55:00.000","2015-09-27 14:30:00.000","36","25.0"
"15","3","With The For/about These Most Unbiased","2015-09-27 12:30:00.000","2015-09-27 14:15:00.000","58","19.0"
"16","3","Cheaper Spreamling: The Bigges You","2015-09-27 13:00:00.000","2015-09-27 14:45:00.000","59","16.0"
"17","3","Want - How It's About Budget Method","2015-09-27 14:30:00.000","2015-09-27 16:50:00.000","45","0.0"
"18","3","9 Trence But The Mainess I Will The","2015-09-27 12:10:00.000","2015-09-27 15:00:00.000","37","29.0"
"19","4","That Ways To Techniques Or","2014-04-13 04:55:00.000","2014-04-13 07:40:00.000","41","11.0"
"20","4","10 All Buyersial Tips Tooled Thround","2014-04-13 01:10:00.000","2014-04-13 04:10:00.000","38","19.0"
"21","5","About The Simple A - How To Business","2016-08-31 04:35:00.000","2016-08-31 05:50:00.000","22","24.0"
"22","5","It Rid Your The Immedibly Best Of The","2016-08-31 05:05:00.000","2016-08-31 06:05:00.000","44","20.0"
"23","5","The! 10 You Diffecticle You","2016-08-31 02:00:00.000","2016-08-31 03:40:00.000","39","27.0"
"24","5","5 The - The About The Is","2016-08-31 03:15:00.000","2016-08-31 05:25:00.000","35","11.0"
"25","5","Withould Schools For The Rid It Shee","2016-08-31 04:40:00.000","2016-08-31 06:25:00.000","39","21.0"
"26","6","10 Master The Isn't Know","2016-09-01 03:25:00.000","2016-09-01 05:30:00.000","24","20.0"
"27","6","What Didn't Ways The Busine Study","2016-09-01 03:05:00.000","2016-09-01 04:50:00.000","47","23.0"
"28","6","Are Mistake Most About Than Your","2016-09-01 04:15:00.000","2016-09-01 07:00:00.000","37","17.0"
"29","6","10 Serviewed: What's To Solved Fastery","2016-09-01 03:25:00.000","2016-09-01 05:45:00.000","27","30.0"
